id,date,tag,title,body,image,links,attachments
site-updating-1,2026.09.17,update,サイト現在更新中,現在、TowaPC.comは更新中です。\n不完全なところがあり、調整をおこなっています。\n更新完了までしばらくお待ちください。,,,
site-teams-of-service-update,2026.09.17,important,利用規約とプライバシーポリシーを更新します,2026年9月18日0時ちょうどを持って利用規約とプライバシーポリシーを改訂します。\n\nサイトの都合によりファイルをアップロードできないため、Discordサーバーで公開を行っています。\nご了承ください。,,Discordサーバー|https://towapc.com/discord/,
site-teams-of-service,2026.09.13,important,利用規約とプライバシーポリシーを追加しました,TowaPCはこの度、TowaPC.comに利用規約とプライバシーポリシーを追加しました。\nこれは、できる限り多くの人が自由に、そして安心して利用できるサービスにするための変更です。\n今後、利用にはこれらへの同意が必要になります。ご了承ください。また、Cookie確認POPUPも追加しました。併せてご選択ください。\n\nご理解とご協力をよろしくお願いします。,,利用規約|https://towapc.com/terms/;;プライバシーポリシー|https://towapc.com/privacy/,
site-updating-comp,2026.09.20,release,サイトの更新が完了しました！,TowaPC.comの更新が完了しました！\n今後も、TowaPCをよろしくお願い致します。,/assets/uploads/PXL_20260228_083307083.jpg,TowaPC.com|https://towapc.com/,いつのときか　ー　TowaPC.txt|/files/TowaPC.txt
